Calibration values (ps) from cell 0 to 1024 :

00088.173	00088.376	00088.578	00088.781	00088.984	00089.187	00089.389	00089.592	cell = 440 to 447
00089.795	00089.997	00090.200	00090.402	00090.605	00090.808	00091.011	00091.213	cell = 448 to 455
00091.416	00091.619	00091.822	00092.025	00092.228	00092.431	00092.634	00092.837	cell = 456 to 463
00093.041	00093.244	00093.447	00093.650	00093.854	00094.058	00094.262	00094.465	cell = 464 to 471
00094.669	00094.873	00095.078	00095.282	00095.486	00095.691	00095.896	00096.100	cell = 472 to 479
00096.305	00096.510	00096.715	00096.920	00097.125	00097.330	00097.535	00097.741	cell = 480 to 487
00097.946	00098.152	00098.357	00098.562	00098.767	00098.972	00099.177	00099.381	cell = 488 to 495
00099.585	00099.789	00099.993	00100.197	00100.399	00100.602	00100.804	00101.006	cell = 496 to 503
00101.207	00101.409	00101.610	00101.812	00102.013	00102.214	00102.416	00102.617	cell = 504 to 511
00102.818	00103.019	00103.220	00103.421	00103.623	00103.825	00104.027	00104.228	cell = 512 to 519
00104.431	00104.633	00104.835	00105.037	00105.239	00105.441	00105.644	00105.846	cell = 520 to 527
00106.049	00106.251	00106.453	00106.655	00106.858	00107.060	00107.262	00107.465	cell = 528 to 535
00107.667	00107.869	00108.071	00108.274	00108.476	00108.678	00108.881	00109.083	cell = 536 to 543
00109.285	00109.488	00109.691	00109.893	00110.096	00110.299	00110.502	00110.705	cell = 544 to 551
00110.908	00111.110	00111.313	00111.516	00111.718	00111.921	00112.123	00112.326	cell = 552 to 559
00112.529	00112.731	00112.934	00113.137	00113.340	00113.543	00113.745	00113.948	cell = 560 to 567
00114.151	00114.353	00114.555	00114.758	00114.960	00115.162	00115.365	00115.567	cell = 568 to 575
00115.769	00115.971	00116.174	00116.376	00116.578	00116.781	00116.983	00117.185	cell = 576 to 583
00117.388	00117.590	00117.792	00117.994	00118.196	00118.399	00118.601	00118.803	cell = 584 to 591
00119.005	00119.208	00119.410	00119.613	00119.816	00120.018	00120.221	00120.424	cell = 592 to 599
00120.628	00120.831	00121.035	00121.238	00121.442	00121.646	00121.849	00122.053	cell = 600 to 607
00122.257	00122.460	00122.664	00122.868	00123.072	00123.276	00123.480	00123.684	cell = 608 to 615
00123.887	00124.091	00124.295	00124.498	00124.702	00124.905	00125.108	00125.312	cell = 616 to 623
00125.516	00125.719	00125.923	00126.126	00126.330	00126.534	00126.737	00126.941	cell = 624 to 631
00127.144	00127.348	00127.552	00127.756	00127.960	00128.163	00128.367	00128.571	cell = 632 to 639
00128.775	00128.979	00129.183	00129.386	00129.589	00129.792	00129.995	00130.198	cell = 640 to 647
00130.401	00130.604	00130.807	00131.010	00131.213	00131.416	00131.619	00131.822	cell = 648 to 655
00132.025	00132.227	00132.430	00132.632	00132.834	00133.037	00133.239	00133.441	cell = 656 to 663
00133.643	00133.845	00134.047	00134.249	00134.451	00134.654	00134.856	00135.058	cell = 664 to 671
00135.260	00135.462	00135.664	00135.866	00136.068	00136.270	00136.471	00136.673	cell = 672 to 679
00136.874	00137.075	00137.277	00137.478	00137.679	00137.881	00138.082	00138.283	cell = 680 to 687
00138.484	00138.685	00138.887	00139.088	00139.289	00139.490	00139.691	00139.892	cell = 688 to 695
00140.094	00140.295	00140.496	00140.697	00140.897	00141.098	00141.299	00141.500	cell = 696 to 703
00141.701	00141.902	00142.102	00142.303	00142.504	00142.705	00142.905	00143.106	cell = 704 to 711
00143.306	00143.507	00143.707	00143.907	00144.108	00144.308	00144.508	00144.709	cell = 712 to 719
00144.909	00145.110	00145.310	00145.510	00145.711	00145.911	00146.111	00146.312	cell = 720 to 727
00146.512	00146.712	00146.913	00147.113	00147.313	00147.513	00147.712	00147.912	cell = 728 to 735
00148.112	00148.311	00148.511	00148.710	00148.909	00149.109	00149.308	00149.508	cell = 736 to 743
00149.708	00149.908	00150.108	00150.307	00150.507	00150.706	00150.905	00151.104	cell = 744 to 751
00151.304	00151.503	00151.703	00151.902	00152.102	00152.301	00152.501	00152.700	cell = 752 to 759
00152.900	00153.099	00153.299	00153.498	00153.698	00153.897	00154.096	00154.295	cell = 760 to 767
00154.493	00154.692	00154.891	00155.090	00155.288	00155.487	00155.686	00155.885	cell = 768 to 775
00156.084	00156.283	00156.482	00156.681	00156.881	00157.080	00157.279	00157.478	cell = 776 to 783
00157.677	00157.876	00158.076	00158.275	00158.474	00158.673	00158.872	00159.071	cell = 784 to 791
00159.270	00159.469	00159.668	00159.867	00160.065	00160.264	00160.463	00160.662	cell = 792 to 799
00160.861	00161.061	00161.259	00161.458	00161.657	00161.855	00162.054	00162.252	cell = 800 to 807
00162.450	00162.649	00162.847	00163.046	00163.244	00163.443	00163.641	00163.840	cell = 808 to 815
00164.038	00164.237	00164.435	00164.633	00164.831	00165.029	00165.227	00165.425	cell = 816 to 823
00165.623	00165.820	00166.018	00166.215	00166.412	00166.609	00166.806	00167.004	cell = 824 to 831
00167.201	00167.398	00167.595	00167.792	00167.990	00168.187	00168.384	00168.582	cell = 832 to 839
00168.779	00168.977	00169.174	00169.371	00169.568	00169.765	00169.962	00170.159	cell = 840 to 847
00170.357	00170.555	00170.752	00170.950	00171.148	00171.345	00171.542	00171.740	cell = 848 to 855
00171.937	00172.134	00172.331	00172.528	00172.725	00172.922	00173.119	00173.316	cell = 856 to 863
00173.513	00173.711	00173.908	00174.105	00174.303	00174.501	00174.698	00174.896	cell = 864 to 871
00175.094	00175.291	00175.489	00175.686	00175.884	00176.081	00176.279	00176.476	cell = 872 to 879
00176.674	00176.871	00177.068	00177.265	00177.462	00177.659	00177.856	00178.053	cell = 880 to 887
00178.250	00178.447	00178.643	00178.840	00179.037	00179.233	00179.430	00179.626	cell = 888 to 895
00179.823	00180.019	00180.216	00180.412	00180.608	00180.804	00181.000	00181.196	cell = 896 to 903
00181.393	00181.589	00181.786	00181.983	00182.180	00182.377	00182.574	00182.771	cell = 904 to 911
00182.968	00183.166	00183.363	00183.560	00183.757	00183.954	00184.152	00184.349	cell = 912 to 919
00184.547	00184.744	00184.941	00185.139	00185.336	00185.533	00185.730	00185.926	cell = 920 to 927
00186.123	00186.320	00186.516	00186.713	00186.910	00187.106	00187.303	00187.499	cell = 928 to 935
00187.695	00187.892	00188.088	00188.284	00188.480	00188.675	00188.871	00189.068	cell = 936 to 943
00189.264	00189.459	00189.655	00189.850	00190.045	00190.240	00190.435	00190.630	cell = 944 to 951
00190.825	00191.020	00191.215	00191.410	00191.605	00191.800	00191.995	00192.190	cell = 952 to 959
00192.385	00192.580	00192.775	00192.970	00193.165	00193.360	00193.554	00193.749	cell = 960 to 967
00193.944	00194.139	00194.333	00194.528	00194.722	00194.916	00195.111	00195.305	cell = 968 to 975
00195.499	00195.694	00195.888	00196.082	00196.276	00196.470	00196.664	00196.857	cell = 976 to 983
00197.051	00197.245	00197.439	00197.633	00197.827	00198.021	00198.215	00198.409	cell = 984 to 991
00198.603	00198.797	00198.991	00199.184	00199.379	00199.573	00199.767	00199.961	cell = 992 to 999
00200.156	00200.350	00200.545	00200.740	00200.934	00201.129	00201.323	00201.517	cell = 1000 to 1007
00201.712	00201.906	00202.100	00202.293	00202.487	00202.680	00202.873	00203.066	cell = 1008 to 1015
00203.259	00203.452	00203.645	00203.838	00204.030	00204.222	00204.415	00204.607	cell = 1016 to 1023
